fqn,global_combat_id,name,icon,attack_type,ablGlobalCooldownTime,mirror_fqn,exclusive_to_spec,is_interrupt,grants_absorb,its_revive,ignore_alacrity,is_passive,is_dcd,dcd_candidate
abl.agent.adrenaline_probe,814776770887680,Adrenaline Probe,antitoxinprobe,None,,abl.smuggler.cool_head,,False,False,False,False,False,False,False
abl.agent.advanced_recon,1412477304700928,Heroic Moment: Advanced Recon,riflerangefinderdevice,None,,,,False,False,False,True,False,False,False
abl.agent.backstab,814789655789568,Backstab,criticalblade,Tech,-1.0,abl.smuggler.back_blast,,True,False,False,False,False,False,False
abl.agent.ballistic_shield,2305791847563264,Ballistic Shield,ballisticshield,None,,abl.smuggler.scrambling_field,,False,False,False,True,False,False,True
abl.agent.cloaking_screen,2278037768896512,Cloaking Screen,coveredescape,None,,abl.smuggler.disappearing_act,,False,False,False,True,False,True,True
abl.agent.coordination,881945764429824,Coordination,rushedshot,None,-1.0,abl.smuggler.lucky_shots,,False,False,False,False,False,False,False
abl.agent.coordination_passive,4503019806785536,Coordination,xpbonus,None,-1.0,abl.smuggler.lucky_shots_passive,,False,False,False,False,True,False,False
abl.agent.corrosive_dart,3465720780292096,Corrosive Dart,toxicdart,Tech,-1.0,abl.smuggler.vital_shot,,False,False,False,False,False,False,False
abl.agent.countermeasures,3469564776022016,Countermeasures,abl_ag_sn_countermeasures,None,,abl.smuggler.surrender,,False,False,False,True,False,False,False
abl.agent.cover_pulse,996514017050624,Cover Pulse,concussionmissiles,None,,abl.smuggler.pulse_detonator,,False,False,False,True,False,False,False
abl.agent.covered_escape,3200519434665984,Covered Escape,disengagesniper,Tech,1.0,abl.smuggler.hightail_it,,False,False,False,True,False,False,False
abl.agent.debilitate,814802540691456,Debilitate,hamstring,Tech,-1.0,abl.smuggler.dirty_kick,,False,False,False,False,False,False,False
abl.agent.diagnostic_scan,1685950757339136,Diagnostic Scan,emergencystimpak,None,-1.0,abl.smuggler.diagnostic_scan,,False,False,False,False,False,False,False
abl.agent.distraction,987747988799488,Distraction,sonicgrenade,None,,abl.smuggler.distraction,,True,False,False,True,False,False,False
abl.agent.diversion,785128611643392,Diversion,smokegrenade,None,-1.0,abl.smuggler.diversion,,False,False,False,False,False,False,False
abl.agent.entrench,2043584094142464,Entrench,entrench,None,,abl.smuggler.hunker_down,,False,False,False,True,False,True,False
abl.agent.escape,814806835658752,Escape,escape,None,,abl.smuggler.escape,,False,False,False,True,False,False,False
abl.agent.evasion,814811130626048,Evasion,evasion,None,,abl.smuggler.dodge,,False,False,False,True,False,True,True
abl.agent.exfiltrate,3202400630341632,Exfiltrate,newrolloperative,None,1.0,abl.smuggler.scamper,,False,False,False,True,False,False,False
abl.agent.flash_bang,814819720560640,Flash Bang,flashbang,None,-1.0,abl.smuggler.flash_grenade,,False,False,False,False,False,False,False
abl.agent.fragmentation_grenade,1624614329384960,Fragmentation Grenade,remotedetonationmine,Tech,-1.0,abl.smuggler.thermal_grenade,,False,False,False,False,False,False,False
abl.agent.hololocate,4311283876757504,Hololocate,energycollectormodule,None,,abl.smuggler.high_noon,,False,False,False,True,False,False,False
abl.agent.holotraverse,3704525256916992,Holotraverse,op_teleport,None,0.25,abl.smuggler.trick_move,,False,False,False,True,False,False,False
abl.agent.imperial_preparation,3650206805524480,Meticulous Preparation,snipe_imperial_preparation,None,,abl.smuggler.bag_of_tricks,,False,False,False,True,False,False,False
abl.agent.infiltrate,2144558775271424,Infiltrate,abl_ag_op_infiltrate,None,,abl.smuggler.smuggle,,False,False,False,True,False,False,False
abl.agent.kolto_infusion,1014376786034688,Kolto Infusion,koltoinjection,None,-1.0,abl.smuggler.kolto_pack,,False,False,False,False,False,False,False
abl.agent.kolto_probe,814832605462528,Kolto Probe,surgicalprobe,None,-1.0,abl.smuggler.slow_release_medpac,,False,False,False,False,False,False,False
abl.agent.laze_target,814836900429824,Laze Target,lazetarget,None,,abl.smuggler.smugglers_luck,,False,False,False,False,False,False,False
abl.agent.leg_shot,814841195397120,Leg Shot,cripplingfire,Ranged,-1.0,abl.smuggler.leg_shot,,False,False,False,False,False,False,False
abl.agent.maim,3908961405239296,Maim,abl_ag_sn_maim,Ranged,-1.0,abl.smuggler.below_the_belt,,False,False,False,False,False,False,False
abl.agent.noxious_knives,4011542404136960,Noxious Knives,abl_ag_op_noxious_knives,Tech,-1.0,abl.smuggler.lacerating_blast,,False,False,False,False,False,False,False
abl.agent.orbital_strike,2145301804613632,Orbital Strike,orbitalbombardment,Tech,-1.0,abl.smuggler.xs_freighter_flyby,,False,False,False,False,False,False,False
abl.agent.overload_shot,866410867720192,Overload Shot,fearsomecry,Ranged,-1.0,abl.smuggler.quick_shot,,False,False,False,False,False,False,False
