ability_id,name,alacrity,is_stack,duration
2278046358831104,Stim boost,0.1,FALSE,15
2301299311771648,Sniper Volley,0.1,FALSE,15
3066456325489016,Tag and Bag,0.15,FALSE,9
3409808896032768,Supercharged Celerity,0.1,FALSE,10
3413304999411712,Supercharged Celerity,0.1,FALSE,10
4056536481530204,Supercharged Velocity,0.01,TRUE,8
4056545071464796,Supercharged Velocity,0.01,TRUE,8
3394763625594880,Improved Vents,0.1,FALSE,6
3217995656593408,Mental Alacrity,0.2,FALSE,20
3428431874228224,Telekinetic Focal Point,0.01,TRUE,15
4056222948917248,Zen,0.3,FALSE,20
961325349994496,Polarity Shift,0.2,FALSE,20
3411024371777536,Focal Lightning,0.01,TRUE,15
4056201474080768,Berserk,0.3,FALSE,20
2276199522893824,Pugnacity,0.1,FALSE,15
2302072405884928,Burst Volley,0.1,FALSE,15
3066473505358172,One Many Army,0.15,FALSE,9
3413605647122432,Cell Capacitor,0.1,FALSE,10
