Discipline,DisciplineID,Ability,AbilityID
Pyrotech,2031339142381602,Scorch,3384812186370048
Pyrotech,2031339142381602,Searing Wave,3915721683763200
Advanced Prototype,2031339142381605,Energy Burst,3388896700268544
Advanced Prototype,2031339142381605,Magnetic Blast,3387479361060864
Shield Tech,2031339142381604,Firestorm,3178507727273984
Shield Tech,2031339142381604,Oil Slick,2264298168516608
Arsenal,2031339142381601,Priming Shot,3411372264128512
Arsenal,2031339142381601,Tracer Missile,985140943650816
Bodyguard,2031339142381600,Kolto Shell,985226842996736
Bodyguard,2031339142381600,Progressive Scan,3394132265402368
Innovative Ordnance,2031339142381598,Mag Shot,3394733560823808
Innovative Ordnance,2031339142381598,Serrated Shot,3394707791020032
Carnage,2031339142381573,Massacre,1259670958243840
Carnage,2031339142381573,Devastating Blast,3361602183102464
Annihilation,2031339142381572,Force Rend,3361615068004352
Annihilation,2031339142381572,Rupture,3455541707800576
Fury,2031339142381574,Berserk,807724434587648
Fury,2031339142381574,Rout,3460833107509248
Rage,2031339142381578,Enrage,2515566640234496
Rage,2031339142381578,Dominate,1261775492218880
Vengeance,2031339142381576,Shatter,1169953386397696
Vengeance,2031339142381576,Vengeful Slam,3503361873674240
Immortal,2031339142381577,Aegis Assault,3438288824172544
Immortal,2031339142381577,Crushing Blow,2211062048882688
Concealment,2031339142381595,Laceration,2176972893454336
Concealment,2031339142381595,Crippling Slice,3403443754500096
Lethality,2031339142381593,Corrosive Assault,3440822854877184
Lethality,2031339142381593,Lethal Strike,3403731517308928
Medicine,2031339142381596,Recuperative Nanotech,815232037421056
Medicine,2031339142381596,Kolto Waves,3402082249867264
Marksmanship,2031339142381591,Ambush,3394042071089152
Marksmanship,2031339142381591,Penetrating Blasts,3394699201085440
Virulence,2031339142381589,Cull,3394939719254016
Virulence,2031339142381589,Weakening Blast,3440827149844480
Engineering,2031339142381592,Explosive Probe,3394789395398656
Engineering,2031339142381592,Interrogation Probe,879630777057280
Lightning,2031339142381586,Thundering Blast,961338234896384
Lightning,2031339142381586,Lightning Flash,3401218961440768
Madness,2031339142381584,Force Leech,3400587601248256
Madness,2031339142381584,Demolish,3400617666019328
Corruption,2031339142381587,Roaming Mend,3401283385950208
Corruption,2031339142381587,Innervate,1104395005591552
Hatred,2031339142381580,Eradicate,4035839034130432
Hatred,2031339142381580,Leeching Strike,3410053709168640
Deception,2031339142381583,Reaping Strike,3915266417229824
Deception,2031339142381583,Ball Lightning,3408941312638976
Darkness,2031339142381582,Depredating Volts,3408949902573568
Darkness,2031339142381582,Dark Ward,975760735076352
Plasmatech,2031339142381638,Plasmatize,3391666954174464
Plasmatech,2031339142381638,Ion Wave,4085759439011840
Tactics,2031339142381640,Cell Burst,3393354876321792
Tactics,2031339142381640,Tactical Surge,3393260387041280
Shield Specialist,2031339142381641,Ion Storm,3389987621961728
Shield Specialist,2031339142381641,Riot Gas,3396893929373696
Gunnery,2031339142381636,Vortex Bolt,3393513790111744
Gunnery,2031339142381636,Grav Round,1202535008305152
Combat Medic,2031339142381637,Trauma Probe,999516199190528
Combat Medic,2031339142381637,Successive Treatment,3393470840438784
Assault Specialist,2031339142381634,Mag Bolt,3393762898214912
Assault Specialist,2031339142381634,Serrated Bolt,3418278571540480
Combat,2031339142381613,Blade Rush,1261711067709440
Combat,2031339142381613,Clashing Blast,3409001442181120
Watchman,2031339142381614,Force Melt,3409216190545920
Watchman,2031339142381614,Cauterize,3460841697443840
Concentration,2031339142381611,Zen,2528563211272192
Concentration,2031339142381611,Nimble Slashes,3473851153383424
Focus,2031339142381607,Combat Focus,3461146640121856
Focus,2031339142381607,Felling Blow,1263403284824064
Vigilance,2031339142381610,Plasma Brand,3429368177098752
Vigilance,2031339142381610,Vigilant Thrust,3503417708249088
Defense,2031339142381609,Warding Strike,3409336449630208
Defense,2031339142381609,Guardian Slash,2211203782803456
Scrapper,2031339142381632,Sucker Punch,985076519141376
Scrapper,2031339142381632,Shank Shot,3406471706443776
Ruffian,2031339142381629,Brutal Shots,3406729404481536
Ruffian,2031339142381629,Point Blank Shot,3406802418925568
Sawbones,2031339142381631,Kolto Cloud,1147159994957824
Sawbones,2031339142381631,Kolto Waves,3406411576901632
Sharpshooter,2031339142381627,Aimed Shot,1112293450448896
Sharpshooter,2031339142381627,Penetrating Rounds,3404435891945472
Dirty Fighting,2031339142381625,Wounding Shots,807711549685760
Dirty Fighting,2031339142381625,Hemorrhaging Blast,3404620575539200
Saboteur,2031339142381628,Explosive Charge,3921184882163712
Saboteur,2031339142381628,Shock Charge,1957100632670208
Telekinetics,2031339142381618,Turbulence,885781170225152
Telekinetics,2031339142381618,Telekinetic Gust,3347321416843264
Balance,2031339142381616,Force Serenity,3347338596712448
Balance,2031339142381616,Vanquish,3347334301745152
Seer,2031339142381619,Wandering Mend,3347287057104896
Seer,2031339142381619,Healing Trance,812964294688768
Serenity,2031339142381623,Squelch,4036075257331712
Serenity,2031339142381623,Serenity Strike,3414395921104896
Infiltration,2031339142381620,Vaulting Slash,3915738863632384
Infiltration,2031339142381620,Psychokinetic Blast,3401425119870976
Kinetic Combat,2031339142381622,Cascading Debris,3414228417380352
Kinetic Combat,2031339142381622,Kinetic Ward,980828796485632
